Mutation,Gelöschte Parzellen
21675,OB4147
21706,AA4473 AA4476 AA7147 AA7203 AA7204
21825,WD2132 WD2188 WD7541 WD7542 WD7556 WD7587 WD8503 WD8566 WD8567 WD8630 WD8631 WD8811 WD8862 WD8869 WD8944 WD8970
21841,WO828 WO840 WO843 WO854 WO855 WO856 WO857 WI859 WO860 WO885 WO886 WO902 WO903 WO912 WO920 WO921 WO922 WO3928 WO4560 WO4561 WO4563 WO4589 WO5260 WO5307 WO5316 WO5390 WO5849 WO6053 WO6055 WO6137 WO6138 WO6142 WO6144 WO6145 WO6146 WO6147 WO6148 WO6149 WO6150 WO6151 WO6152 WO6153 WO6154 WO6155 WO6156 WO6190 WO6193 WO6232 WO6237 WO6358 WO6422 WO6423 WO6432 WO6434 WO6444 WO6531 WO6539
21878,AR6445
22190,HO252 HO253
22214,AF135 AF5217
22232,SE5711 SE6527
22244,WD1893 WD1896 WD1897
22245,EN255 EN256 EN257
22260,AL7706 AL8463
22270,HG2227 HG2234 HG2239 HG2240 HG2249 HG4120 HG4649 HG5554 HG5847 HG6449 HG6450 HG6451 HG6452 HG6454 HG7482 HG7489 HG7491 HG7492 HG7495 HG7497 HG7498 HG7499 HG7504 HG8149 HG8150 HG8212 HG8213
22271,WO4991 WO6497 WO4980
22299,AL8523 AL8522
22300,AR5439
22315,AF899 AF900 AF4413 AF4414 AF4415 AF4624
22321,AU6794 AU6551 AU6374 AU6372
22324,HG8260
22402,WP4491
22417,AU6355
22563,WI1445
22572,WD8969
22645,RI298
22692,AR6701 AR6702
22711,AL8457
22848,AR6665
22849,WO6554
22950,AU6907
22986,WO6592 WO6588 WO6586 WO6585 WO6583 WO6584 WO6581 WO6485 WO6486 WO6473 WO6433 WO6453 WO6472 WO6370 WO6467 WO6468 WO6129 WO6166 WO6130 WO6165 WO6056 WO6057 WO6058 WO6063
22987,LE402 LE849 LE1084 LE1085 LE1086 LE1087 LE1506 LE1507 LE1508 LE1509 WD2194 WD6099 WD6996 WD6997 WD9017 WO6099 WO6100 WO6101 WO6159 WO6164 WO6168 WO6169 WO6170 WO6171 WO6172 WO6173 WO6174 WO6176 WO6177 WO6178 WO6184 WO6238 WO6250 WO6251 WO6264 WO6265 WO6276 WO6277 WO6278 WO6279 WO6285 WO6292 WO6293 WO6294 WO6295 WO6394 WO6611 WO6614 WO6625
