Gelöscht,Punktnummer,AC,Kl,Y,X,Erstellt,X [LV95],Y [LV95]
20003,WOK2300,52,4,682390.251,243672.696,WO2538,2682391.130,1243672.533
20003,WOH2300,53,4,682389.953,243666.951,WO2538,2682390.832,1243666.788
20003,WOL2300,52,4,682390.951,243667.065,WO2538,2682391.830,1243666.902
20003,WOD1380,52,4,682393.777,243667.405,WO2538,2682394.656,1243667.242
20003,WOE1379,52,4,682401.514,243668.365,WO2538,2682402.393,1243668.202
20003,WOE1381,51,4,682408.283,243669.201,WO2538,2682409.162,1243669.038
20004,AAN3046,53,4,682563.569,247128.861,AA3124,2682564.459,1247128.696
20004,AAO3046,53,4,682562.426,247130.098,AA3124,2682563.316,1247129.933
20004,AAC3045,52,4,682566.502,247133.917,AA3124,2682567.392,1247133.752
20004,AAD3045,52,4,682569.063,247136.443,AA3124,2682569.953,1247136.278
20004,AAA3045,52,4,682562.348,247143.422,AA3124,2682563.238,1247143.257
20004,AAU3044,52,4,682560.120,247125.425,AA3124,2682561.010,1247125.260
20067,SEE2791,51,4,683150.171,253217.553,SE2600,2683151.110,1253217.397
20067,SED2791,51,4,683123.944,253183.486,SE2600,2683124.883,1253183.331
20102,20057,53,7,687677.806,245555.623,20102,2687678.692,1245555.422
20102,SEE2561,52,4,683485.182,252690.241,SE2600,2683486.115,1252690.084
20102,SEF2559,52,4,683493.125,252652.074,SE2600,2683494.058,1252651.917
20102,SED0102,51,4,683530.753,252697.261,SE2600,2683531.686,1252697.103
20102,SEB0102,52,4,683544.440,252623.696,SE2600,2683545.372,1252623.539
20102,SEG0101,53,4,683544.720,252622.156,SE2600,2683545.652,1252621.999
20128,AUC2909,53,4,680629.234,248565.873,AU3509,2680630.142,1248565.728
20128,AUD2909,51,4,680628.697,248564.965,AU3509,2680629.605,1248564.820
20128,AUL0212,52,4,680619.564,248549.634,AU3509,2680620.472,1248549.489
20128,AUG3302,51,4,680642.150,248557.115,AU3509,2680643.058,1248556.970
20128,AUK0213,51,4,680590.530,248565.224,AU3509,2680591.438,1248565.079
20172,RIW6063,52,4,686014.611,245040.044,RI2464,2686015.496,1245039.849
20172,RIX6063,52,4,686016.909,245033.166,RI2464,2686017.794,1245032.971
20172,RIC2303,51,4,686022.882,245008.967,RI2464,2686023.766,1245008.772
20172,RIB2685,51,4,686002.291,245001.155,RI2464,2686003.175,1245000.960
20172,RIA2685,51,4,685992.024,245031.903,RI2464,2685992.909,1245031.708
20172,RIA2303,52,4,685965.148,245022.221,RI2464,2685966.033,1245022.026
20177,ALE2087,52,4,680262.292,248292.119,AL3431,2680263.198,1248291.975
20177,ALD2087,52,4,680255.423,248284.359,AL3431,2680256.329,1248284.215
20177,ALC2087,51,4,680247.823,248275.769,AL3431,2680248.729,1248275.625
20177,ALE2052,53,4,680247.163,248275.019,AL3431,2680248.069,1248274.875
20177,ALB2087,51,4,680225.573,248290.610,AL3431,2680226.479,1248290.466
20193,SWA3257,52,4,686340.643,251268.508,PVSW1,2686341.572,1251268.337
20193,SWW6006,52,4,686351.425,251272.268,PVSW1,2686352.354,1251272.097
20193,SWX6006,52,4,686353.612,251271.236,PVSW1,2686354.541,1251271.065
20193,SWB3257,52,4,686338.529,251274.559,PVSW1,2686339.458,1251274.388
20193,SWC3257,52,4,686339.233,251274.806,PVSW1,2686340.162,1251274.635
20193,SWD3257,52,4,686342.983,251287.550,PVSW1,2686343.912,1251287.379
20193,SWE3257,52,4,686342.447,251292.660,PVSW1,2686343.376,1251292.489
20196,ENC0869,53,4,682243.217,246858.014,EN1575,2682244.107,1246857.853
20197,END0943,51,4,681975.315,246451.111,EN1575,2681976.204,1246450.953
20197,END2238,51,4,682007.641,246452.797,EN1575,2682008.530,1246452.639
20197,ENC0288,53,4,682152.060,246554.729,EN1575,2682152.949,1246554.569
20197,ENF0288,53,4,682152.242,246568.013,EN1575,2682153.131,1246567.853
