mutation,date
21675,2013-06-26
21706,2008-12-19
21825,2009-02-26
21841,2008-10-30
21878,2009-02-26
22190,2008-01-28
22214,2008-03-11
22232,2008-01-10
22244,2008-01-11
22245,2008-01-10
22260,2008-01-10
22270,2012-10-22
22271,2008-07-01
22299,2008-02-07
22300,2008-01-29
22315,2008-02-07
22319,2008-02-07
22321,2008-05-26
22324,2008-04-16
22325,2008-02-14
22333,2008-02-21
22341,2008-02-21
22342,2008-02-28
22344,2008-02-27
22345,2008-02-27
22346,2008-02-27
22356,2008-03-07
22363,2008-03-04
22371,2008-09-12
22399,2008-04-22
22402,2008-03-18
22408,2008-06-02
22417,2008-10-29
22418,2008-03-28
22419,2008-07-11
22443,2008-04-04
22460,2008-04-18
22461,2008-04-17
22479,2008-06-16
22507,2009-01-26
22552,2008-04-25
22563,2008-05-05
22569,2008-05-06
22571,2008-05-19
22572,2008-07-23
22587,2008-05-19
22621,2008-08-29
22645,2008-06-26
22650,2008-06-26
22652,2008-06-16
22661,2008-07-23
22689,2008-08-04
22692,2008-08-14
22699,2008-09-23
22708,2008-12-01
22711,2008-11-28
22716,2008-07-10
22722,2008-07-23
22735,2008-07-23
22782,2008-08-27
22789,2008-08-27
22790,2009-03-25
22793,2008-09-25
22802,2010-02-09
22808,2008-09-11
22825,2008-10-10
22830,2009-03-10
22846,2008-09-19
22848,2008-10-30
22849,2008-12-11
22855,2008-10-01
22863,2008-10-06
22864,2008-10-01
22888,2008-10-08
22891,2008-10-13
22892,2008-10-06
22895,2009-04-07
22899,2008-10-10
22909,2008-10-20
22913,2008-11-24
22935,2008-10-23
22950,2009-07-13
22955,2009-04-07
22967,2008-11-13
22969,2008-12-10
22986,2009-06-29
22987,2011-01-13
22999,2009-01-07
23013,2008-12-03
23014,2008-12-09
23015,2008-12-09
23018,2009-03-26
23020,2008-12-17
23022,2009-04-24
23027,2008-12-19
23033,2009-04-09
23035,2009-03-16
23037,2009-07-07
23038,2009-01-30
23042,2009-01-15
23043,2009-01-30
23054,2009-03-16
23059,2009-01-29
23060,2009-02-17
23094,2009-02-04
23100,2009-02-12
23102,2009-02-12
23105,2009-08-14
23112,2009-02-24
23115,2009-04-14
23124,2009-02-26
23129,2009-04-09
23135,2009-08-27
23140,2009-03-12
23144,2009-04-06
23166,2009-03-23
23170,2009-05-14
23173,2009-03-19
23179,2010-01-22
23187,2009-04-01
23193,2009-04-03
23194,2010-02-25
23212,2009-06-12
23213,2009-06-12
23214,2009-05-06
23217,2009-04-24
23220,2009-07-10
23222,2009-06-30
23223,2009-05-07
23227,2009-04-21
23240,2009-05-11
23242,2009-05-07
23249,2009-05-07
23255,2009-05-13
23257,2009-05-11
23299,2009-06-08
23318,2009-06-08
23321,2009-06-05
23322,2009-06-30
23323,2009-06-10
23326,2009-06-22
23328,2009-06-30
23390,2009-06-30
23394,2009-07-02
23403,2009-07-02
23404,2009-08-19
23425,2009-07-20
23426,2009-08-11
23428,2009-07-29
23444,2009-07-27
23445,2009-07-31
23464,2009-07-27
23473,2009-07-30
23490,2009-08-13
23497,2010-01-19
23506,2009-08-17
23508,2009-08-19
23544,2009-09-15
23548,2009-09-29
23570,2009-07-16
23571,2009-12-03
23600,2009-09-23
23620,2010-01-14
23623,2010-01-04
23626,2009-10-27
23633,2009-10-27
23639,2009-10-26
23651,2010-01-25
23656,2009-11-17
23661,2009-11-05
23666,2010-02-04
23671,2009-10-29
23673,2010-10-18
23677,2009-11-05
23692,2009-11-10
23695,2009-11-16
23700,2010-04-07
23706,2010-03-02
23712,2009-12-03
23713,2009-12-16
23717,2009-11-30
23903,2010-04-28
23918,2010-10-04
23922,2010-05-03
23923,2010-06-01
23928,2010-05-04
23931,2010-09-21
23938,2010-05-31
23947,2010-06-18
23959,2010-05-10
23960,2010-05-10
23963,2010-06-01
23968,2010-12-09
23975,2010-06-03
23985,2010-06-22
23990,2010-06-16
24003,2010-06-07
24006,2011-02-14
24026,2010-06-18
24043,2010-06-24
24049,2010-09-02
AR2476,1999-02-01
AU3166,1993-05-13
FL1939,1992-11-27
RI2293,1994-12-12
WI1050,1994-01-21
