point,type,protection,x,y,created_by,created
5001,Bolzen,,2681723.145,1246668.678,AA3100,2000-05-08
5002,Bolzen,,2681816.861,1246637.020,AA3100,2000-05-08
5003,Bolzen,,2681821.190,1246501.509,AA3100,2000-05-08
5004,Bolzen,,2681832.716,1246444.219,AA3100,2000-05-08
5005,Bolzen,,2681854.093,1246415.405,AA3100,2000-05-08
5006,Bolzen,,2681772.638,1246408.532,AA3100,2000-05-08
5007,Bolzen,,2681690.520,1246422.602,AA3100,2000-05-08
5008,Bolzen,,2681898.152,1246562.239,AA3100,2000-05-08
5009,Bolzen,,2681934.045,1246674.246,AA3100,2000-05-08
5010,Bolzen,,2681907.831,1246717.819,AA3100,2000-05-08
5013,Bolzen,,2682072.554,1248302.685,LE32,1914-08-05
5014,Bolzen,,2682037.456,1248254.633,LE32,1914-08-05
5015,Bolzen,,2682011.057,1248217.210,LE32,1914-08-05
5016,Bolzen,,2682121.095,1248265.902,LE32,1914-08-05
5017,Bolzen,,2682084.875,1248218.420,LE32,1914-08-05
5018,Bolzen,,2682157.765,1248239.352,LE32,1914-08-05
5019,Bolzen,,2682118.262,1248192.994,LE32,1914-08-05
5020,Bolzen,,2683167.428,1247947.880,LE33,1914-12-31
5021,Bolzen,,2681631.144,1247326.948,EN184,1931-01-07
5022,Stein,,2681672.065,1247296.163,EN184,1931-01-07
5023,Bolzen,,2681298.107,1247499.564,AA3017,1995-09-27
5024,Bolzen,,2681349.472,1247543.117,AA3017,1995-09-27
5025,Bolzen,,2681400.858,1247595.934,AA3017,1995-09-27
5026,Bolzen,,2681320.303,1247690.624,AA3017,1995-09-27
5027,Bolzen,,2681259.094,1247782.648,AA3017,1995-09-27
5028,Bolzen,,2687751.539,1245607.092,LE79,1923-05-15
5029,Bolzen,,2687704.916,1245597.810,LE79,1923-05-15
5030,Bolzen,,2684233.131,1246441.878,LE85,1926-05-25
5031,Bolzen,,2680148.321,1248710.474,EN257,1933-02-24
5032,Stein,,2680212.313,1248792.891,EN257,1933-02-24
5033,Bolzen,,2680266.978,1248881.184,EN257,1933-02-24
5034,Bolzen,,2680331.777,1248992.395,EN257,1933-02-24
5035,Bolzen,,2680522.842,1248899.041,EN257,1933-02-24
5036,Stein,,2685593.549,1250392.917,LE425,1974-06-13
5037,Bolzen,,2685606.793,1250453.012,LE425,1974-06-13
5038,Bolzen,,2685626.433,1250460.607,LE425,1974-06-13
5039,Bolzen,,2682353.334,1248477.310,EN338,1938-01-15
5040,Bolzen,,2682389.920,1248540.592,EN338,1938-01-15
5041,Bolzen,,2682462.596,1248652.573,EN338,1938-01-15
5042,Bolzen,,2682481.845,1248686.271,EN338,1938-01-15
5043,Bolzen,,2682500.887,1248739.391,EN338,1938-01-15
5044,Bolzen,,2682495.862,1248796.759,EN338,1938-01-15
5045,Bolzen,,2682577.564,1248738.569,EN338,1938-01-15
5046,Bolzen,,2682847.687,1246914.436,EN199,1931-04-11
5047,Bolzen,,2683058.038,1253543.069,LE426,1973-11-23
5048,Bolzen,,2684344.715,1248233.411,EN334,1937-11-29
5049,Bolzen,,2684737.294,1251431.357,LE429,1974-10-08
5050,Bolzen,,2684665.838,1251431.323,LE429,1974-10-08
5052,Bolzen,,2683246.541,1249448.762,EN254,1933-01-06
5053,Bolzen,,2683499.511,1252948.971,EN225,1932-05-25
5054,Bolzen,,2683583.016,1252873.146,EN225,1932-05-25
5055,Bolzen,,2685293.782,1247139.721,AA3016,1995-07-20
5056,Bolzen,,2682542.744,1251962.811,AA3089,1999-09-22
5057,Bolzen,,2683527.736,1249681.881,AA3094,1999-12-16
5058,Bolzen,,2683156.902,1249334.152,EN353,1939-02-18
5059,Bolzen,,2683178.456,1249266.716,EN353,1939-02-18
5060,Bolzen,,2685458.552,1244980.846,AA3096,2000-01-28
5061,Bolzen,,2681695.858,1247654.351,LE175,1939-01-10
5062,Bolzen,,2683506.072,1248562.421,AA3202,2002-01-28
5063,Bolzen,,2683533.509,1248517.614,AA3202,2002-01-28
5064,Bolzen,,2683560.051,1248463.210,AA3202,2002-01-28
5065,Bolzen,,2683609.273,1248362.620,AA3202,2002-01-28
5066,Bolzen,,2683642.574,1248294.538,AA3202,2002-01-28
5067,Bolzen,,2683664.006,1248248.452,AA3202,2002-01-28
5068,Bolzen,,2683708.508,1248171.915,AA3202,2002-01-28
5069,Bolzen,,2683737.109,1248121.523,AA3202,2002-01-28
5070,Bolzen,,2681667.324,1246615.216,AA3100,2000-05-08
5071,Bolzen,,2682971.532,1252254.607,EN282,1933-11-06
5072,Bolzen,,2682966.784,1252185.920,EN282,1933-11-06
5073,Bolzen,,2682959.773,1252085.616,EN282,1933-11-06
5074,Bolzen,,2681941.068,1250114.138,LE460,1977-08-17
5075,Bolzen,,2681986.284,1250094.739,LE460,1977-08-17
5076,Bolzen,,2682155.745,1250047.005,LE460,1977-08-17
5077,Bolzen,,2678952.722,1247351.857,AA3101,2000-05-08
5078,Bolzen,,2678950.658,1247321.480,AA3101,2000-05-08
5079,Stein,,2679081.292,1247276.843,AA3101,2000-05-08
5080,Bolzen,,2679081.376,1247347.765,AA3101,2000-05-08
5081,Bolzen,,2679067.099,1247391.026,AA3101,2000-05-08
5082,Stein,,2679055.804,1247426.874,AA3101,2000-05-08
5083,Bolzen,,2679335.508,1247133.030,EN262,1933-04-26
5084,Bolzen,,2679307.538,1247171.002,EN262,1933-04-26
5085,Bolzen,,2679268.783,1247216.304,EN262,1933-04-26
5086,Bolzen,,2684693.589,1252297.255,LE175,1939-01-10
5087,Bolzen,,2684605.335,1247606.367,AA3116,2001-02-20
5088,Stein,,2684574.857,1247604.091,AA3116,2001-02-20
5089,Bolzen,,2684572.645,1247577.182,AA3116,2001-02-20
