mutation,date,min_x,max_x,min_y,max_y
2VAR,1954-01-01,2677462.957,2678999.472,1245766.691,1247639.156
21,2005-03-09,2681782.244,2681782.244,1246759.871,1246759.871
20003,2004-12-20,2682390.142,2682409.901,1243654.927,1243674.703
20004,2005-01-03,2682553.087,2682582.983,1247118.580,1247147.031
20005,2004-12-15,2682883.622,2682917.240,1249389.978,1249424.122
20006,2005-01-31,2684794.283,2687539.914,1245042.874,1246685.605
20009,2005-01-13,2681550.000,2681639.535,1251750.080,1251840.062
20011,2005-05-19,2680023.124,2680197.857,1252400.988,1252585.043
20015,2005-03-29,2680607.728,2680607.728,1245078.110,1245078.110
20017,2005-02-08,,,,
20056,2005-02-10,2682807.776,2683263.484,1252463.672,1252563.145
20062,2005-01-25,2685302.043,2685336.178,1246689.761,1246720.106
20067,2005-01-18,2683124.053,2683190.286,1253157.553,1253218.037
20068,2005-01-19,2683449.727,2683592.083,1252618.209,1252699.253
20079,2005-06-23,,,,
20094,2005-05-03,,,,
20102,2005-02-23,2687592.400,2687683.659,1245539.118,1245560.590
20114,2005-05-10,,,,
20117,2005-03-21,2681558.306,2681626.301,1247165.758,1247279.751
20128,2005-02-02,2680554.739,2680643.566,1248488.790,1248575.229
20150,2005-06-21,,,,
20156,2005-10-06,,,,
20171,2005-03-14,2682289.132,2682328.187,1245195.737,1245224.746
20172,2005-03-14,2685843.632,2685927.307,1244965.126,1245121.759
20173,2005-03-08,2679380.458,2679448.630,1248058.399,1248131.759
20175,2005-06-10,2679790.266,2680646.694,1252832.681,1252875.328
20177,2005-03-14,2680225.109,2680276.848,1248267.105,1248313.786
20193,2007-02-08,2686338.849,2686340.184,1251272.049,1251297.854
20196,2005-05-11,2681932.414,2682363.198,1246446.707,1246965.604
20197,2005-06-06,2681931.363,2682313.162,1246427.121,1246880.830
20221,2005-03-09,2680371.292,2680610.132,1252680.839,1252765.160
20222,2005-03-23,,,,
20223,2005-03-31,,,,
20225,2005-06-14,2679503.089,2679626.257,1249136.914,1249290.476
20226,2005-06-06,2680360.283,2680442.272,1250974.209,1251094.564
20232,2005-06-20,2680086.950,2680482.158,1250754.096,1250986.966
20254,2005-09-06,,,,
20270,2005-03-15,2685577.179,2685669.490,1251683.853,1251754.820
20287,2005-06-13,2679461.665,2679651.077,1250924.360,1251029.893
20288,2005-06-16,2680917.389,2680943.756,1252182.865,1252213.564
20290,2005-07-07,2683720.318,2683744.257,1249136.084,1249171.011
20311,2006-04-25,2680576.823,2680658.204,1249536.823,1249617.218
20315,2005-06-30,2685169.189,2685590.288,1250386.799,1250488.534
20317,2005-05-25,2684525.795,2684868.319,1251966.698,1252261.177
20318,2005-05-11,2680667.103,2680921.557,1248350.980,1248579.955
20319,2005-05-09,2682057.744,2683195.378,1253620.729,1253734.998
20326,2005-06-13,2684495.657,2684504.608,1252576.308,1252576.308
20330,2005-04-05,2681668.314,2681726.825,1247308.928,1247367.080
20338,2005-05-25,2683747.358,2683784.071,1248537.674,1248815.639
20342,2005-05-04,2680821.110,2680938.004,1253087.260,1253406.941
20343,2005-06-02,2684938.151,2685017.459,1247879.543,1247923.559
20345,2005-05-25,,,,
20349,2006-02-17,2683491.883,2683588.652,1248189.732,1248274.676
20364,2005-04-20,2681275.209,2681574.180,1247686.273,1247912.467
20374,2005-06-14,,,,
20396,2005-05-04,2681888.650,2681903.210,1250113.005,1250135.359
20397,2005-05-11,2686533.689,2686816.071,1245489.753,1245626.442
20402,2005-06-10,2678752.628,2678813.754,1251796.307,1251859.086
20407,2005-05-18,,,,
20457,2005-06-15,2687134.725,2687248.603,1246408.293,1246584.181
20481,2005-06-16,2682353.060,2682384.097,1248175.345,1248207.599
20483,2005-06-29,2681329.480,2681356.587,1242073.983,1242096.326
20518,2005-06-16,2684789.080,2684832.648,1246559.309,1246607.186
20522,2005-06-23,,,,
20523,2006-08-15,2686483.865,2686552.849,1245162.919,1245162.919
20524,2005-07-01,2687485.463,2687646.233,1245936.685,1246069.622
20551,2005-07-04,2680430.058,2680460.665,1250450.840,1250491.149
20552,2005-07-05,2679628.769,2679847.609,1253184.345,1253345.117
20553,2005-08-18,2685986.457,2686015.400,1245825.981,1245853.292
20556,2005-08-22,2683716.705,2683736.100,1252652.079,1252689.388
20563,2005-10-14,2683934.779,2684046.780,1251953.110,1252090.634
20582,2006-01-11,2685226.063,2685340.839,1245135.341,1245215.318
