parcel,min_x,max_x,min_y,max_y,created_by,created
AA19,2683067,2683096,1247028,1247060,PVAA2,1994-01-01
AA20,2683056,2683081,1247044,1247070,PVAA2,1994-01-01
AA21,2683085,2683089,1247021,1247026,PVAA2,1994-01-01
AA22,2683075,2683098,1247058,1247082,PVAA2,1994-01-01
AA23,2683083,2683105,1247064,1247089,PVAA2,1994-01-01
AA24,2683092,2683112,1247067,1247095,PVAA2,1994-01-01
AA25,2683101,2683120,1247068,1247100,PVAA2,1994-01-01
AA123,2682493,2682524,1247020,1247051,PVAA2,1994-01-01
AA125,2682520,2682551,1247041,1247073,PVAA2,1994-01-01
AA144,2682508,2682561,1247090,1247143,PVAA2,1994-01-01
AA148,2682567,2682594,1247134,1247161,PVAA2,1994-01-01
AA149,2682578,2682606,1247148,1247175,PVAA2,1994-01-01
AA155,2682576,2682636,1247087,1247154,PVAA2,1994-01-01
AA158,2682632,2682660,1247103,1247128,PVAA2,1994-01-01
AA159,2682644,2682665,1247118,1247143,PVAA2,1994-01-01
AA160,2682656,2682675,1247115,1247136,PVAA2,1994-01-01
AA187,2682666,2682683,1247443,1247462,PVAA2,1994-01-01
AA189,2682660,2682716,1247485,1247595,PVAA2,1994-01-01
AA191,2682699,2682859,1247584,1247815,PVAA2,1994-01-01
AA209,2682948,2682979,1247712,1247736,PVAA2,1994-01-01
AA214,2682938,2682964,1247744,1247766,PVAA2,1994-01-01
AA240,2682992,2683010,1247746,1247768,PVAA2,1994-01-01
AA258,2683081,2683104,1247827,1247848,PVAA2,1994-01-01
AA265,2683098,2683117,1247681,1247697,PVAA2,1994-01-01
AA266,2683102,2683120,1247692,1247708,PVAA2,1994-01-01
AA271,2683112,2683124,1247679,1247703,PVAA2,1994-01-01
AA308,2682655,2682664,1247430,1247448,PVAA2,1994-01-01
AA319,2683017,2683038,1247539,1247558,PVAA2,1994-01-01
AA344,2683099,2683123,1247821,1247842,PVAA2,1994-01-01
AA360,2682978,2683002,1247737,1247757,PVAA2,1994-01-01
AA370,2682513,2682531,1247042,1247062,PVAA2,1994-01-01
AA371,2682506,2682525,1247037,1247056,PVAA2,1994-01-01
AA372,2682518,2682538,1247031,1247050,PVAA2,1994-01-01
AA382,2683105,2683128,1247701,1247719,PVAA2,1994-01-01
AA395,2683091,2683113,1247004,1247050,PVAA2,1994-01-01
AA398,2682645,2682674,1247083,1247111,PVAA2,1994-01-01
AA451,2683118,2683141,1247878,1247896,PVAA2,1994-01-01
AA475,2683052,2683069,1247820,1247839,PVAA2,1994-01-01
AA476,2683055,2683073,1247834,1247850,PVAA2,1994-01-01
AA487,2683059,2683077,1247845,1247862,PVAA2,1994-01-01
AA488,2683063,2683080,1247858,1247873,PVAA2,1994-01-01
AA489,2683066,2683085,1247868,1247887,PVAA2,1994-01-01
AA493,2682947,2682982,1247888,1247919,PVAA2,1994-01-01
AA495,2683087,2683103,1247013,1247034,PVAA2,1994-01-01
AA496,2683091,2683116,1246992,1247019,PVAA2,1994-01-01
AA497,2683083,2683094,1247016,1247030,PVAA2,1994-01-01
AA503,2682940,2682972,1247880,1247908,PVAA2,1994-01-01
AA531,2683058,2683073,1247874,1247891,PVAA2,1994-01-01
AA532,2683047,2683063,1247877,1247894,PVAA2,1994-01-01
AA558,2682675,2682694,1247398,1247422,PVAA2,1994-01-01
AA559,2682680,2682695,1247417,1247448,PVAA2,1994-01-01
AA563,2683075,2683096,1247814,1247834,PVAA2,1994-01-01
AA565,2682519,2682538,1247082,1247101,PVAA2,1994-01-01
AA566,2682508,2682529,1247073,1247093,PVAA2,1994-01-01
AA567,2682497,2682518,1247083,1247105,PVAA2,1994-01-01
AA576,2682934,2682950,1247807,1247831,PVAA2,1994-01-01
AA577,2682925,2682939,1247805,1247828,PVAA2,1994-01-01
AA599,2683024,2683067,1247838,1247881,PVAA2,1994-01-01
AA604,2683182,2683196,1247830,1247849,PVAA2,1994-01-01
AA616,2683069,2683081,1247898,1247913,PVAA2,1994-01-01
AA617,2683078,2683093,1247894,1247912,PVAA2,1994-01-01
AA618,2683080,2683096,1247907,1247921,PVAA2,1994-01-01
AA622,2683004,2683033,1247967,1247992,PVAA2,1994-01-01
AA623,2682999,2683028,1247961,1247985,PVAA2,1994-01-01
AA633,2682621,2682626,1247479,1247483,PVAA2,1994-01-01
AA635,2682967,2682987,1247758,1247774,PVAA2,1994-01-01
AA636,2682983,2682996,1247758,1247772,PVAA2,1994-01-01
AA637,2682974,2682988,1247749,1247763,PVAA2,1994-01-01
AA638,2682984,2682993,1247754,1247762,PVAA2,1994-01-01
AA645,2683153,2683173,1247839,1247860,PVAA2,1994-01-01
AA652,2682914,2682930,1247807,1247827,PVAA2,1994-01-01
AA655,2682843,2682862,1247107,1247126,PVAA2,1994-01-01
AA679,2682994,2683024,1247953,1247979,PVAA2,1994-01-01
AA680,2682989,2683019,1247946,1247971,PVAA2,1994-01-01
AA688,2683060,2683074,1247901,1247914,PVAA2,1994-01-01
AA689,2683061,2683075,1247910,1247917,PVAA2,1994-01-01
AA690,2682487,2682507,1247097,1247118,PVAA2,1994-01-01
AA695,2682983,2683006,1247945,1247964,PVAA2,1994-01-01
AA696,2682979,2683001,1247937,1247957,PVAA2,1994-01-01
AA702,2682626,2682645,1247423,1247440,PVAA2,1994-01-01
AA703,2682621,2682640,1247414,1247432,PVAA2,1994-01-01
AA732,2683194,2683216,1247882,1247903,PVAA2,1994-01-01
AA734,2683171,2683195,1247893,1247915,PVAA2,1994-01-01
AA735,2683187,2683208,1247884,1247908,PVAA2,1994-01-01
AA746,2682928,2682945,1247830,1247844,PVAA2,1994-01-01
AA747,2682919,2682953,1247826,1247841,PVAA2,1994-01-01
AA752,2683023,2683034,1247974,1247984,PVAA2,1994-01-01
AA756,2682852,2682872,1247117,1247137,PVAA2,1994-01-01
AA761,2682995,2683022,1247926,1247952,PVAA2,1994-01-01
AA774,2682813,2682832,1247551,1247570,PVAA2,1994-01-01
AA775,2682821,2682842,1247563,1247582,PVAA2,1994-01-01
AA783,2682539,2682564,1247133,1247158,PVAA2,1994-01-01
AA784,2682549,2682574,1247143,1247169,PVAA2,1994-01-01
AA788,2682834,2682850,1247533,1247548,PVAA2,1994-01-01
AA789,2682829,2682845,1247525,1247540,PVAA2,1994-01-01
AA796,2682871,2682891,1247101,1247121,PVAA2,1994-01-01
AA797,2682881,2682900,1247095,1247112,PVAA2,1994-01-01
AA819,2682798,2682840,1247513,1247547,PVAA2,1994-01-01
AA822,2682856,2682874,1247616,1247634,PVAA2,1994-01-01
AA845,2682603,2682627,1247470,1247493,PVAA2,1994-01-01
AA851,2683083,2683216,1246721,1246897,PVAA2,1994-01-01
AA872,2682932,2682960,1247836,1247863,PVAA2,1994-01-01
AA873,2682915,2682941,1247848,1247872,PVAA2,1994-01-01
AA876,2682931,2682935,1247842,1247850,PVAA2,1994-01-01
AA887,2682861,2682876,1247602,1247616,PVAA2,1994-01-01
AA901,2682883,2682897,1247787,1247805,PVAA2,1994-01-01
AA902,2682870,2682887,1247782,1247808,PVAA2,1994-01-01
AA935,2682624,2682638,1247468,1247488,PVAA2,1994-01-01
AA936,2682611,2682634,1247461,1247483,PVAA2,1994-01-01
AA937,2682611,2682632,1247450,1247467,PVAA2,1994-01-01
AA938,2682599,2682619,1247459,1247475,PVAA2,1994-01-01
AA945,2682903,2682934,1247827,1247859,PVAA2,1994-01-01
AA947,2682906,2682924,1247778,1247797,PVAA2,1994-01-01
AA959,2682931,2682952,1247732,1247752,PVAA2,1994-01-01
AA979,2682655,2682684,1247105,1247128,PVAA2,1994-01-01
AA980,2682674,2682698,1247098,1247120,PVAA2,1994-01-01
AA981,2682660,2682684,1247091,1247111,PVAA2,1994-01-01
AA990,2682867,2682882,1247611,1247627,PVAA2,1994-01-01
AA994,2683006,2683029,1247691,1247720,PVAA2,1994-01-01
AA995,2682998,2683016,1247699,1247721,PVAA2,1994-01-01
AA1016,2682647,2682673,1247455,1247478,PVAA2,1994-01-01
AA1017,2682642,2682666,1247447,1247469,PVAA2,1994-01-01
AA1035,2683028,2683053,1247613,1247630,PVAA2,1994-01-01
AA1036,2683030,2683049,1247598,1247618,PVAA2,1994-01-01
AA1040,2682888,2682916,1247663,1247692,PVAA2,1994-01-01
AA1041,2682876,2682904,1247644,1247674,PVAA2,1994-01-01
AA1043,2682867,2682894,1247630,1247655,PVAA2,1994-01-01
AA1055,2683264,2683294,1247862,1247890,PVAA2,1994-01-01
AA1075,2682901,2682932,1247648,1247679,PVAA2,1994-01-01
AA1087,2682873,2682895,1247599,1247621,PVAA2,1994-01-01
AA1101,2682892,2682918,1247634,1247659,PVAA2,1994-01-01
AA1102,2682884,2682909,1247619,1247644,PVAA2,1994-01-01
AA1103,2682865,2682887,1247587,1247608,PVAA2,1994-01-01
AA1112,2682914,2682948,1247660,1247687,PVAA2,1994-01-01
AA1113,2682933,2682966,1247671,1247703,PVAA2,1994-01-01
AA1136,2683093,2683119,1247667,1247686,PVAA2,1994-01-01
AA1145,2682898,2682912,1247083,1247095,PVAA2,1994-01-01
AA1148,2682918,2682944,1247714,1247741,PVAA2,1994-01-01
AA1157,2683018,2683040,1247507,1247523,PVAA2,1994-01-01
AA1158,2683018,2683039,1247521,1247540,PVAA2,1994-01-01
AA1174,2683053,2683079,1247277,1247293,PVAA2,1994-01-01
AA1176,2682908,2682972,1247399,1247457,PVAA2,1994-01-01
AA1187,2682442,2682484,1247035,1247081,PVAA2,1994-01-01
AA1191,2682925,2682955,1247445,1247474,PVAA2,1994-01-01
AA1192,2682905,2682943,1247431,1247466,PVAA2,1994-01-01
AA1212,2683007,2683056,1247268,1247303,PVAA2,1994-01-01
AA1217,2682994,2683018,1247545,1247575,PVAA2,1994-01-01
AA1218,2683017,2683037,1247557,1247577,PVAA2,1994-01-01
AA1220,2683026,2683070,1247300,1247344,AA3100,2000-05-08
AA1225,2683226,2683269,1247860,1247905,PVAA2,1994-01-01
AA1227,2682965,2683005,1247247,1247289,PVAA2,1994-01-01
AA1230,2682981,2683035,1247280,1247332,AA3100,2000-05-08
AA1232,2682995,2683019,1247506,1247547,PVAA2,1994-01-01
AA1240,2682939,2682950,1247713,1247731,PVAA2,1994-01-01
AA1241,2682943,2682973,1247724,1247751,PVAA2,1994-01-01
AA1242,2683236,2683299,1247837,1247880,PVAA2,1994-01-01
AA1247,2683021,2683114,1247129,1247226,PVAA2,1994-01-01
AA1263,2683047,2683076,1247284,1247303,PVAA2,1994-01-01
AA1264,2683040,2683074,1247297,1247318,PVAA2,1994-01-01
